"","predictors(sale_price_pred_profile)"
"1","GrLivArea"
"2","TotalBsmtSF"
"3","OverallQual"
"4","FirstFlrSF"
"5","LotArea"
"6","BsmtFinSF1"
"7","GarageArea"
"8","SecondFlrSF"
"9","OverallCond"
"10","GarageCars"
"11","Age"
"12","FireplaceQu"
"13","BsmtFinType1"
"14","ExterQual"
"15","TotalBath"
"16","AgeRemod"
"17","MSSubClass"
"18","MSZoning.RM"
"19","GarageYrBlt"
"20","KitchenQual"
"21","Fireplaces"
"22","TotRmsAbvGrd"
"23","BedroomAbvGr"
"24","GarageFinish"
"25","BsmtUnfSF"
"26","GarageType.Attchd"
"27","GarageType.Detchd"
"28","BsmtQual"
"29","OpenPorchSF"
"30","BsmtFullBath"
"31","BsmtExposure"
"32","MSZoning.RL"
"33","WoodDeckSF"
"34","CentralAir"
"35","MasVnrArea"
"36","Neighborhood.Crawfor"
"37","HouseStyle.2Story"
"38","BsmtCond"
"39","Exterior2nd.VinylSd"
"40","Exterior1st.VinylSd"
"41","HeatingQC"
"42","Neighborhood.Edwards"
"43","HouseStyle.1Story"
"44","Foundation.CBlock"
"45","LotShape"
"46","Foundation.PConc"
"47","GarageQual"
"48","LotFrontage"
"49","KitchenAbvGr"
"50","Neighborhood.NAmes"
"51","Neighborhood.OldTown"
"52","MasVnrType.None"
"53","Neighborhood.Gilbert"
"54","Functional.Typ"
"55","Neighborhood.CollgCr"
"56","GarageCond"
"57","Neighborhood.MeadowV"
"58","Exterior2nd.CmentBd"
"59","MasVnrType.BrkFace"
"60","BldgType.Duplex"
"61","MasVnrType.Stone"
"62","BldgType.Twnhs"
"63","RemodFlag"
"64","Neighborhood.NPkVill"
"65","BldgType.TwnhsE"
"66","SaleCondition.Normal"
"67","ScreenPorch"
"68","Exterior2nd.MetalSd"
"69","Exterior1st.CemntBd"
"70","GarageType.CarPort"
"71","Neighborhood.BrDale"
"72","LandSlope"
"73","Exterior2nd.Brk.Cmn"
"74","Neighborhood.NridgHt"
"75","RoofStyle.Hip"
"76","PavedDrive.Y"
"77","GarageType.BuiltIn"
"78","Exterior1st.HdBoard"
"79","Exterior1st.MetalSd"
"80","SaleType.WD"
"81","MSZoning.FV"
"82","RoofStyle.Gable"
"83","Neighborhood.NoRidge"
"84","GarageType.NA"
"85","Condition1.Norm"
"86","LandContour.Low"
"87","SaleCondition.Partial"
"88","Neighborhood.ClearCr"
"89","HouseStyle.SLvl"
"90","Exterior2nd.HdBoard"
"91","Neighborhood.Somerst"
"92","LandContour.Lvl"
"93","SaleType.New"
"94","Exterior1st.BrkFace"
"95","Condition1.RRAe"
"96","ExterCond"
"97","BsmtHalfBath"
"98","LotConfig.CulDSac"
"99","Condition1.Feedr"
"100","Functional.Maj2"
"101","Heating.Wall"
"102","Neighborhood.SWISU"
"103","Alley.NA"
"104","BsmtFinSF2"
"105","EnclosedPorch"
"106","Neighborhood.Sawyer"
"107","LotConfig.FR2"
"108","Alley.Pave"
"109","Fence.NA"
"110","Exterior1st.Wd.Sdng"
"111","Neighborhood.NWAmes"
"112","Exterior2nd.Plywood"
"113","Exterior2nd.Stucco"
"114","LotConfig.Inside"
"115","YrMoSold"
"116","Foundation.Slab"
"117","Functional.Min2"
"118","Fence.MnPrv"
"119","Neighborhood.Veenker"
"120","Exterior1st.WdShing"
"121","HouseStyle.SFoyer"
"122","Neighborhood.SawyerW"
"123","Exterior2nd.Wd.Shng"
"124","BsmtFinType2"
"125","Exterior1st.Stucco"
"126","Exterior1st.Plywood"
"127","Exterior1st.BrkComm"
"128","Foundation.Stone"
"129","threePorch"
"130","SaleCondition.Alloca"
"131","Neighborhood.Timber"
"132","SaleType.ConLI"
"133","Electrical.FuseF"
"134","Exterior2nd.Wd.Sdng"
"135","Heating.OthW"
"136","MasVnrType.NA"
"137","MSZoning.RH"
"138","Exterior2nd.BrkFace"
"139","Electrical.FuseP"
"140","Exterior2nd.Stone"
"141","HouseStyle.1.5Unf"
"142","LotConfig.FR3"
"143","Foundation.Wood"
"144","Neighborhood.BrkSide"
"145","SaleType.ConLD"
"146","Exterior1st.Stone"
"147","MiscFeature.Othr"
"148","RoofStyle.Shed"
"149","SaleType.CWD"
"150","SaleType.Oth"
"151","Condition2.PosA"
"152","Condition2.RRAe"
"153","Condition2.RRAn"
"154","Electrical.Mix"
"155","Electrical.NA"
"156","Exterior1st.AsphShn"
"157","Exterior1st.CBlock"
"158","Exterior1st.ImStucc"
"159","Exterior1st.NA"
"160","Exterior2nd.AsphShn"
"161","Exterior2nd.CBlock"
"162","Exterior2nd.NA"
"163","Exterior2nd.Other"
"164","Fence.No"
"165","Functional.NA"
"166","Functional.Sev"
"167","MiscFeature.NA"
"168","MiscFeature.TenC"
"169","MSZoning.NA"
"170","RoofMatl.Membran"
"171","RoofMatl.Metal"
"172","RoofMatl.Roll"
"173","SaleType.Con"
"174","SaleType.NA"
"175","Utilities.NA"
"176","Utilities.NoSeWa"
"177","Functional.Min1"
"178","SaleType.ConLw"
"179","Condition2.RRNn"
"180","Condition1.RRNn"
"181","Electrical.SBrkr"
"182","RoofMatl.WdShake"
"183","RoofMatl.WdShngl"
"184","Condition1.RRNe"
"185","MiscFeature.No"
"186","Fence.MnWw"
"187","RoofStyle.Mansard"
"188","SaleCondition.AdjLand"
"189","Heating.GasA"
"190","Condition1.PosN"
"191","Alley.No"
"192","HouseStyle.2.5Unf"
"193","Neighborhood.Mitchel"
"194","MiscFeature.Shed"
"195","Functional.Mod"
"196","BldgType.2fmCon"
"197","Exterior2nd.ImStucc"
"198","Heating.GasW"
"199","Neighborhood.Blueste"
"200","PavedDrive.P"
"201","GarageType.Basment"
"202","RoofMatl.CompShg"
"203","Street.Pave"
"204","Condition2.Feedr"
"205","Id"
"206","MiscVal"
"207","HouseStyle.2.5Fin"
"208","Neighborhood.IDOTRR"
"209","Neighborhood.StoneBr"
"210","Condition1.RRAn"
"211","PoolArea"
"212","PoolQC"
"213","LandContour.HLS"
"214","Condition1.PosA"
"215","RoofMatl.Tar.Grv"
"216","LowQualFinSF"
"217","SaleCondition.Family"
"218","Condition2.Norm"
"219","Fence.GdWo"
"220","Heating.Grav"
"221","RoofStyle.Gambrel"
"222","Condition2.PosN"
